uwb_x	uwb_y	enc_x	enc_y	enc_t	gyro_x	gt_x	gt_y
171	666	56828	-724	-612	0	0	0
161	670	56828	-724	-612	76.57	289.737	633.998
162	677	56828	-724	-612	76.57	286.356	633.656
170	680	56828	-724	-612	76.57	287.021	634.011
169	681	56828	-724	-612	76.57	287.949	634.586
165	684	56828	-724	-612	76.57	286.61	633.712
142	682	56828	-724	-612	76.57	286.806	634.049
136	674	56828	-724	-612	76.57	279.919	634.777
137	670	56828	-724	-612	76.57	277.529	634.327
137	674	56828	-724	-612	76.57	277.369	633.753
135	679	56828	-724	-612	76.57	276.508	634.09
142	674	56828	-724	-612	76.57	275.863	635.414
135	672	56828	-724	-612	76.57	279.334	633.4
140	673	56828	-724	-612	76.57	276.549	634.095
138	670	56828	-724	-612	76.57	278.483	634.203
144	674	56828	-724	-612	76.57	278.436	633.895
142	677	56828	-724	-612	76.57	280.14	633.963
146	668	56828	-724	-612	76.57	280.357	634.213
155	671	56828	-724	-612	76.57	279.612	633.509
150	670	56828	-724	-612	76.57	284.316	633.437
138	675	56828	-724	-612	76.57	281.318	633.84
137	673	56828	-724	-612	76.57	281.694	633.84
159	671	56828	-724	-612	76.57	277.534	634.742
151	678	56828	-724	-612	75.76	285.223	633.597
132	681	56828	-724	-612	74.17	285.416	633.518
140	683	56828	-724	-613	73.45	274.577	633.944
151	689	56833	-725	-614	72.47	278.52	633.84
163	692	56841	-728	-615	70.92	277.925	633.915
165	684	56860	-732	-616	70.13	285.973	634.001
162	671	56898	-738	-618	69.71	285.94	634.748
162	659	56949	-739	-618	70.31	286.012	628.326
142	635	56995	-741	-618	69.64	283.805	619.742
142	609	57045	-739	-618	69.49	275.958	608.845
78	565	57094	-740	-618	69.29	278.886	569.243
21	528	57143	-740	-618	69.73	247.778	548.149
-28	492	57191	-741	-618	69.66	217.788	485.076
-13	444	57239	-740	-618	68.82	183.999	419.798
7	405	57289	-740	-618	68.47	185.462	393.572
-56	370	57338	-741	-619	68.07	215.01	325.993
86	326	57385	-742	-619	68.56	163.671	296.596
183	280	57432	-743	-619	67.92	167.123	266.345
263	237	57480	-741	-619	67.81	324.614	199.277
290	190	57529	-743	-619	67.48	346.554	165.579
309	143	57575	-743	-619	67.12	359.44	106.791
321	102	57622	-744	-619	67.46	367.194	51.7485
315	51	57669	-746	-620	66.87	374.419	15.3761
319	19	57719	-745	-620	66.74	375.03	-45.9014
324	-30	57768	-746	-620	66.73	379.383	-74.9681
330	-53	57818	-746	-620	67	381.62	-106.579
333	-84	57864	-746	-620	66.93	384.535	-162.933
